id,suite,label,risk,risk_source,layer,head,null_bias,beta,m_null,entropy,psi,spectral_gap,head_selected,mix_alpha,phi_penalty_mean,null_value_norm
benign-2,benign,benign,0.5673202042636257,probe_latent,16,1,0.33629682660102844,1.1261112689971924,0.09858889132738113,1.2373076677322388,-0.5950436592102051,0.45983684062957764,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,2,0.33629682660102844,1.1261112689971924,0.06577752530574799,0.9045699238777161,-0.7295063138008118,0.5629266500473022,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,3,0.33629682660102844,1.1261112689971924,0.08143159747123718,1.1813230514526367,-0.5754608511924744,0.524167537689209,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,4,0.33629682660102844,1.1261112689971924,0.034525733441114426,1.3582404851913452,-0.6490073800086975,0.9088581204414368,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,5,0.33629682660102844,1.1261112689971924,0.022404424846172333,1.1075462102890015,-0.7280656695365906,0.8384702205657959,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,6,0.33629682660102844,1.1261112689971924,0.2959240972995758,1.8806445598602295,-0.10219220072031021,0.7987920641899109,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,7,0.33629682660102844,1.1261112689971924,0.06825395673513412,1.3101733922958374,-0.622376024723053,0.6480304002761841,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,8,0.33629682660102844,1.1261112689971924,0.11159364879131317,1.5900229215621948,-0.4838062524795532,0.5644382238388062,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,9,0.33629682660102844,1.1261112689971924,0.08037484437227249,1.2310051918029785,-0.6239726543426514,0.4736688733100891,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,10,0.33629682660102844,1.1261112689971924,0.032129961997270584,1.9790191650390625,-0.40641945600509644,0.7622871398925781,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,11,0.33629682660102844,1.1261112689971924,0.06843044608831406,1.5645790100097656,-0.48752108216285706,0.697862982749939,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,12,0.33629682660102844,1.1261112689971924,0.08560600876808167,1.7188923358917236,-0.4631849527359009,0.8132492303848267,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,13,0.33629682660102844,1.1261112689971924,0.04183833673596382,2.015838146209717,-0.34559643268585205,0.7021137475967407,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,14,0.33629682660102844,1.1261112689971924,0.0642647072672844,1.6412440538406372,-0.47661760449409485,0.664023756980896,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,15,0.33629682660102844,1.1261112689971924,0.02122267708182335,1.8799649477005005,-0.4204043745994568,0.7059109210968018,1.0,0.55,0.012098658829927444,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,0,0.33629682660102844,1.1261112689971924,0.04708898812532425,2.1278483867645264,-0.27139708399772644,0.7344244718551636,1.0,0.55,0.011598528362810612,3.816615104675293
benign-2,benign,benign,0.5673202042636257,probe_latent,16,1,0.33629682660102844,1.1261112689971924,0.11726604402065277,1.1699955463409424,-0.6001653671264648,0.9658533334732056,1.0,0.55,0.011598528362810612,3.816615104675293
