risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,normalize_hidden,benign_collapse,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.18,4.0,8.0,0.25,1.0,4.0,0.0,0.0,1,0.35714285714285715,0.5,1.0,1.0,1.0,0.875,0.2857142857142857,0.4959864376328478,0.8981843561915227
surface,0.18,4.0,18.0,0.0,1.0,2.5,0.0,0.0,1,0.2857142857142857,0.25,1.0,1.0,1.0,0.7916666666666666,0.47023809523809523,0.26558485109064334,0.8142092753575615
surface,0.18,4.0,18.0,0.0,1.0,4.0,0.0,0.0,1,0.2857142857142857,0.25,1.0,1.0,1.0,0.875,0.5535714285714286,0.3240960234214493,0.8527903549011282
surface,0.18,4.0,18.0,0.1,1.0,2.5,0.0,0.0,1,0.2857142857142857,0.25,1.0,1.0,1.0,0.7916666666666666,0.47023809523809523,0.26776944493559246,0.8155391278496956
surface,0.18,4.0,18.0,0.1,1.0,4.0,0.0,0.0,1,0.2857142857142857,0.25,1.0,1.0,1.0,0.875,0.5535714285714286,0.32553307266514114,0.8538155387630465
surface,0.18,4.0,18.0,0.25,1.0,2.5,0.0,0.0,1,0.2857142857142857,0.25,1.0,1.0,1.0,0.7916666666666666,0.47023809523809523,0.2710043101411989,0.8174879586228041
surface,0.18,4.0,18.0,0.25,1.0,4.0,0.0,0.0,1,0.2857142857142857,0.25,1.0,1.0,1.0,0.875,0.5535714285714286,0.32764791297915014,0.8553268709382555
surface,0.18,4.0,30.0,0.0,1.0,2.5,0.0,0.0,1,0.2857142857142857,0.25,1.0,1.0,1.0,0.7916666666666666,0.47023809523809523,0.2525651350158083,0.8051236476915533
surface,0.18,4.0,30.0,0.0,1.0,4.0,0.0,0.0,1,0.2857142857142857,0.25,1.0,1.0,1.0,0.8333333333333334,0.511904761904762,0.29650902973751253,0.8318207379127284
surface,0.18,4.0,30.0,0.1,1.0,2.5,0.0,0.0,1,0.2857142857142857,0.25,1.0,1.0,1.0,0.7916666666666666,0.47023809523809523,0.25432812093865037,0.8060681293607527
